k-fold,vanillaNAS_dense_param_count,JimmyNAS_I_fullyCNN_param_count,vanillaNAS_dense_best_acc,JimmyNAS_I_fullyCNN_best_acc,vanillaNAS_dense_mac_count,JimmyNAS_I_fullyCNN_mac_count,vanillaNAS_dense_flash,JimmyNAS_I_fullyCNN_flash,vanillaNAS_dense_peak_ram,JimmyNAS_I_fullyCNN_peak_ram,vanillaNAS_dense_tflite_acc,JimmyNAS_I_fullyCNN_tflite_acc,vanillaNAS_dense_tflite_precision,JimmyNAS_I_fullyCNN_tflite_precision,vanillaNAS_dense_tflite_recall,JimmyNAS_I_fullyCNN_tflite_recall,vanillaNAS_dense_tflite_f1,JimmyNAS_I_fullyCNN_tflite_f1
fold_0,5847,5139,0.86,0.872,1758249,1768032,12592,11312,31232,31232,0.854,0.865,0.851,0.874,0.855,0.861,0.853,0.866
fold_1,5847,21149,0.878,0.879,1758249,2074482,12656,30752,31232,32256,0.876,0.877,0.881,0.88,0.871,0.875,0.875,0.877
fold_2,5847,11787,0.865,0.868,1758249,1994184,12712,19640,31232,31744,0.861,0.859,0.86,0.86,0.86,0.862,0.86,0.86
fold_3,1635,3123,0.853,0.876,574569,634356,7960,10080,20992,21504,0.852,0.869,0.854,0.872,0.854,0.87,0.853,0.87
fold_4,5847,5139,0.876,0.893,1758249,1768032,12712,11368,31232,31232,0.874,0.893,0.878,0.894,0.874,0.893,0.875,0.893
