k-fold,vanillaNAS_dense_param_count,JimmyNAS_I_fullyCNN_param_count,vanillaNAS_dense_best_acc,JimmyNAS_I_fullyCNN_best_acc,vanillaNAS_dense_mac_count,JimmyNAS_I_fullyCNN_mac_count,vanillaNAS_dense_flash,JimmyNAS_I_fullyCNN_flash,vanillaNAS_dense_peak_ram,JimmyNAS_I_fullyCNN_peak_ram,vanillaNAS_dense_tflite_acc,JimmyNAS_I_fullyCNN_tflite_acc,vanillaNAS_dense_tflite_precision,JimmyNAS_I_fullyCNN_tflite_precision,vanillaNAS_dense_tflite_recall,JimmyNAS_I_fullyCNN_tflite_recall,vanillaNAS_dense_tflite_f1,JimmyNAS_I_fullyCNN_tflite_f1
fold_0,13094,21394,0.978,0.98,1991944,2076624,21472,31144,31744,32256,0.97,0.982,0.97,0.983,0.97,0.982,0.97,0.982
fold_1,22760,21394,0.978,0.975,2074820,2076624,33016,31184,32768,32256,0.978,0.973,0.978,0.973,0.978,0.973,0.978,0.973
fold_2,13094,21394,0.976,0.978,1991944,2076624,21600,31184,31744,32256,0.969,0.974,0.97,0.974,0.969,0.974,0.969,0.974
fold_3,22760,32931,0.981,0.984,2074820,2085256,33016,44608,32768,33280,0.967,0.965,0.967,0.965,0.966,0.965,0.966,0.965
fold_4,34525,21394,0.982,0.981,2086355,2076624,46648,31240,33280,32256,0.976,0.978,0.977,0.979,0.976,0.978,0.976,0.978
