k-fold,vanillaNAS_dense_param_count,JimmyNAS_I_fullyCNN_param_count,vanillaNAS_dense_best_acc,JimmyNAS_I_fullyCNN_best_acc,vanillaNAS_dense_mac_count,JimmyNAS_I_fullyCNN_mac_count,vanillaNAS_dense_flash,JimmyNAS_I_fullyCNN_flash,vanillaNAS_dense_peak_ram,JimmyNAS_I_fullyCNN_peak_ram,vanillaNAS_dense_tflite_acc,JimmyNAS_I_fullyCNN_tflite_acc,vanillaNAS_dense_tflite_precision,JimmyNAS_I_fullyCNN_tflite_precision,vanillaNAS_dense_tflite_recall,JimmyNAS_I_fullyCNN_tflite_recall,vanillaNAS_dense_tflite_f1,JimmyNAS_I_fullyCNN_tflite_f1
fold_0,1866,5114,0.685,0.695,1260260,1764576,7136,11256,30720,31232,0.675,0.692,0.674,0.702,0.671,0.684,0.671,0.682
fold_1,1618,5114,0.676,0.699,574564,1764576,7888,11256,20992,31232,0.633,0.653,0.636,0.654,0.626,0.647,0.623,0.646
fold_2,1866,5114,0.67,0.679,1260260,1764576,7216,11280,30720,31232,0.609,0.642,0.609,0.647,0.61,0.645,0.609,0.642
fold_3,1866,5114,0.657,0.683,1260260,1764576,7216,11280,30720,31232,0.642,0.675,0.642,0.679,0.637,0.668,0.636,0.667
fold_4,1618,5114,0.68,0.686,574564,1764576,7944,11280,20992,31232,0.635,0.659,0.634,0.674,0.633,0.666,0.633,0.657
